calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
458,28,9,0,172,1.6,314,9,47.81,4.8,36.25,14.08
43,0.6,233,0,168,2.85,89,1.68,9.57,1.3,0.6,81.58
902,100,0,0,0,0,0,0,0,0,0,0
307,6.4,566,0,59,3.52,104,9.5,52,3.7,4.3,30.4
238,2.2,478,0,684,4.89,127,10.66,43.91,9.2,5,39.6
34,0.4,17,0,18,1.22,212,1.9,6.5,2.4,2.18,90.5
53,1.4,41,33,123,0.44,123,2.47,7.82,0,5.76,87.62
286,3.4,650,0,30,2.7,180,10.3,53.1,4.9,1.17,30.1
313,9.6,11588,0,140,9.3,279,9.2,47.49,0,0,2.74
253,23,334,0,117,0.13,152,9.15,3.59,0,3.19,63.11
166,9.6,379,0,38,2.44,228,7.9,14.29,6,0,66.59
406,21,467,0,37,2.03,118,8.2,45.8,2.6,11.26,23.2
341,1.5,275,0,212,3.93,2540,8.1,79.57,23.6,38.82,4
124,0.5,7,0,18,0.78,454,1.45,32.1,5.4,20.14,64.87
372,8.9,9,0,285,8.2,2090,49.81,30.63,16,9.33,4.61
476,22,324,0,100,1.64,231,6.41,63.49,6.7,1.5,6.4
375,22,168,0,931,66.36,1788,17.81,44.24,10.5,2.25,8.06
27,0.3,4,0,13,0.5,533,2.6,5.2,2.2,3,91
85,1.1,59,0,14,0.32,437,17.66,0,0,0,81.03
353,1.1,1079,0,796,0.88,2080,12.93,74.46,0,74.46,3.19
27,0.4,54,0,47,0.06,161,0.85,5.14,0,5.14,93.12
525,42,26,0,1438,9.76,719,17.99,28.13,19.5,2.99,5.95
397,2,269,0,25,3.77,137,10.8,82.2,2.3,3.08,4
902,100,0,28,0,0,0,0,0,0,0,0
339,15,339,0,59,0.64,289,7,44.3,1,0,32.2
503,51,730,10,12,0.23,44,1.09,10.05,1,8.98,35.83
47,0.4,4,0,50,0.47,240,2.8,8.35,0,0,87.85
43,0.8,43,0,309,1.2,452,4.2,7.3,4,0,84.3
367,7.2,4392,0,146,3.29,428,10.42,65.12,0,0,4.67
370,1.9,29,0,142,5.2,100,75.16,13.79,0.6,0,8.2
32,0.3,40,0,190,1.1,296,1.5,7.13,3.2,0.81,89.67
269,24,816,0,267,3.7,264,12.81,0.28,0.1,0,59.85
83,1.2,3,0,10,0.3,236,1.67,18.7,4,13.67,77.93
430,13,459,0,74,6.43,346,5.6,73.8,1,17.6,5.8
348,7.3,350,0,64,2.9,207,3.7,70.9,4.6,46.36,16.5
305,25,700,0,22,8.85,170,12.38,5.89,2.5,1.65,53.53
223,16,724,0,23,2.06,259,15.27,3.73,0.2,0.71,61.7
133,4.3,140,0,43,30.53,230,16.37,6.32,0,0,71.78
350,22,313,0,63,0.75,362,4.32,34.91,3.2,2.17,37.4
255,18,888,0,63,3.72,231,20.28,8.09,2.8,0,50.4
290,26,1090,0,99,1.09,152,10.26,4.17,0,0,56.31
363,2.8,8,0,11,1.98,289,7.23,76.48,4.6,0.66,11.97
70,0.9,31,0,243,5.08,569,3.75,14.89,8,0,78.65
141,4.8,1225,28,36,1.05,377,18.4,4.9,0,0,68.2
349,1.5,2,0,24,2.54,374,10.88,75.43,11.8,1.1,10.97
183,15,376,0,32,0.34,141,0.97,10.88,1.3,8.16,71.77
248,3.4,486,0,74,3.07,227,8.8,47.8,4,9.68,37.8
254,8.7,274,0,30,1.1,90,7.4,37.1,2.5,0,45.6
361,1.8,11,0,37,4.71,224,10.28,78.3,7.1,0.8,8.21
364,0.6,182,0,18,0.7,30,5.95,80.18,1.6,0.12,11.91
902,100,0,332,0,0,0,0,0,0,0,0
902,100,0,0,0,0,0,0,0,0,0,0
116,0.2,5,0,2,0.58,465,0.79,31.15,2.3,14,67.3
117,2.7,75,0,6,4.38,308,21.81,0,0,0,75.93
367,9.6,4843,0,132,1.72,262,10.74,59.38,2,0,5
351,27,876,20,756,0.52,138,25.58,2.14,0,0.56,40.95
369,31,1809,0,662,0.56,91,21.54,2,0,0,39.38
270,7.4,393,0,63,4.2,507,7,48.3,4.6,8.22,35
299,0.5,11,0,50,1.88,749,3.07,79.18,3.7,59.19,15.43
90,0.8,97,0,50,0.9,404,19.31,0,0,0,79.26
360,9.7,12,0,39,6.26,892,23.15,51.8,13.2,0,11.12
342,1.7,2,0,32,4.56,432,11.31,75.9,12.2,0.41,9.57
216,4.3,2,0,73,10.57,1182,15.55,64.51,42.8,0.41,9.89
305,15,20,0,1516,16.33,1186,15.98,55.17,21.1,0,7.7
884,100,0,0,0,0,0,0,0,0,0,0
157,9.8,381,0,34,1.46,320,12.56,4.57,1.4,2.27,71.31
93,2.1,9,0,363,2.63,272,5.6,17.31,11,6.3,73.32
42,0.6,70,0,205,3,450,2.8,8.32,1.7,0,87
339,0.5,968,0,2054,1.24,2289,11.73,73.45,0,73.45,3.51
24,0.1,48,0,103,0.08,143,0.76,5.12,0,5.12,93.42
49,0.7,1674,0,25,0.77,12,0.9,9.77,2.5,4.8,86.9
433,13,300,0,101,4.18,501,11.8,67.1,0.2,24.2,5.9
31,0.2,52,0,49,0.73,414,1.24,7.3,3.1,3.93,90.21
592,44,476,331,244,7.2,540,48.05,1.13,0,0.56,2.78
311,10,385,0,45,2.43,90,5.2,51.5,2.5,0,31.7
382,8.1,245,0,138,0.14,214,4.6,77,0,65.5,8.5
136,11,83,8,141,0.07,212,3.5,7.1,0,0.22,78.1
